27	108048	4.0	1|3
27	101790	5.0	0|1
28	100027	4.0	0|1
28	100077	4.0	0|1
28	121866	4.0	0|3
29	100028	5.0	0|1
30	100029	5.0	0|1
31	100030	3.0	0|1
31	111674	4.0	0|1
32	100031	5.0	0|1
32	105018	5.0	0|2
32	107568	5.0	0|1
32	100004	5.0	0|2
32	100447	5.0	1|2
32	123158	5.0	0|1
33	100032	4.0	0|1
33	105390	5.0	1|1
33	120916	4.0	0|3
33	106912	4.0	0|3
34	100033	2.0	0|1
34	103803	3.0	0|3
34	113149	2.0	0|1
34	114287	3.0	0|3
34	119843	4.0	1|3
34	120014	1.0	1|3
35	100034	3.0	0|1
35	101734	5.0	1|0
35	104474	5.0	1|0
35	105944	5.0	1|3
35	103036	5.0	1|3
35	106911	4.0	0|1
35	111061	4.0	0|3
35	101400	4.0	0|3
35	109542	5.0	0|3
35	101425	4.0	0|0
35	102920	4.0	0|0
35	101132	5.0	0|1
35	102662	5.0	1|0
35	101325	5.0	1|1
35	108041	3.0	0|0
35	120965	4.0	0|3
35	121584	5.0	0|0
35	115899	4.0	0|1
35	100040	4.0	0|3
35	106484	4.0	0|3
35	101242	4.0	0|0
35	126640	3.0	0|0
36	100035	4.0	0|1
36	104616	4.0	1|1
36	101724	5.0	0|2
36	125607	3.0	0|2
37	100036	5.0	0|1
37	107288	1.0	1|3
37	110725	3.0	0|2
37	102145	5.0	1|3
38	100037	4.0	0|1
38	100093	5.0	0|1
38	100745	4.0	0|2
39	100038	4.0	0|1
39	101397	4.0	1|1
40	100039	4.0	0|1
41	100011	5.0	0|1
41	102136	4.0	0|0
42	100040	3.0	0|1
42	106484	3.0	1|1
42	101242	4.0	1|1
42	124405	3.0	0|3
43	100041	5.0	0|1
43	103205	5.0	0|2
44	100042	2.0	0|1
45	100043	4.0	0|1
46	100044	4.0	0|1
47	100045	3.0	0|1
47	102923	4.0	0|2
48	100046	4.0	0|1
48	102460	4.0	0|1
48	105977	4.0	1|3
48	101524	5.0	1|1
48	118750	4.0	1|0
48	115263	3.0	1|1
49	100047	4.0	0|1
49	102275	5.0	0|1
49	104751	4.0	1|1
49	110133	3.0	0|0
49	114379	4.0	0|3
49	117078	4.0	1|1
49	118794	5.0	1|0
49	116604	4.0	0|0
49	122615	5.0	0|3
50	100049	4.0	0|1
50	101568	4.0	0|1
50	115228	3.0	0|1
50	117465	4.0	1|2
50	112363	4.0	0|2
51	100050	5.0	0|1
51	105343	4.0	1|3
51	111771	4.0	0|1
51	100545	5.0	1|2
51	109647	4.0	0|1
52	100051	3.0	0|1
52	106635	3.0	1|1
52	107404	4.0	0|2
52	115606	4.0	0|2
52	117629	4.0	1|2
52	118225	4.0	1|3
53	100052	3.0	0|1
54	100053	4.0	0|1
54	113368	4.0	0|2
54	113533	2.0	0|2
54	113629	5.0	0|2
54	123886	4.0	0|3
54	125438	4.0	0|2
55	100054	4.0	0|1
55	112850	2.0	0|0
55	117044	4.0	1|1
55	119429	3.0	1|2
55	103468	1.0	0|1
56	100055	3.0	0|1
56	112114	5.0	0|2
56	112346	5.0	0|3
56	117298	4.0	1|2
56	117510	4.0	1|2
56	123236	5.0	0|2
57	100056	5.0	0|1
58	100057	5.0	0|1
59	100058	4.0	0|1
59	115763	3.0	0|2
59	125605	4.0	0|2
60	100059	2.0	0|1
61	100060	4.0	0|1
61	110492	4.0	0|1
61	113223	3.0	0|1
61	120242	3.0	1|3
61	124736	4.0	0|0
62	100062	4.0	0|1
62	106758	4.0	1|2
62	112750	4.0	0|3
62	112760	2.0	0|3
63	100063	5.0	0|1
63	100278	5.0	0|0
64	100064	5.0	0|1
64	102336	5.0	0|1
64	107294	5.0	0|1
64	117594	5.0	1|2
64	123247	5.0	0|3
65	100065	3.0	0|1
65	101334	2.0	0|3
65	103454	4.0	0|3
65	103687	5.0	0|3
65	103920	5.0	0|3
65	103967	5.0	0|3
65	104687	5.0	1|1
65	105522	3.0	1|3
65	105704	3.0	1|3
65	105837	3.0	1|3
65	105917	5.0	1|3
65	106669	3.0	1|1
65	107205	4.0	1|2
65	107785	5.0	1|3
65	107864	2.0	1|3
65	107932	3.0	1|3
65	108647	2.0	0|2
65	112009	2.0	0|2
65	117994	3.0	1|3
65	119103	2.0	1|1
65	119192	2.0	1|2
65	120091	2.0	1|3
66	100066	5.0	0|1
66	103147	4.0	0|2
66	104708	3.0	1|1
66	100229	5.0	1|3
67	100067	4.0	0|1
67	108683	4.0	0|2
67	110627	4.0	0|2
67	113232	3.0	0|1
67	115305	5.0	0|2
67	119156	5.0	1|2
67	119559	4.0	1|2
68	100068	2.0	0|1
68	100099	4.0	0|1
68	108461	2.0	0|1
69	100069	3.0	0|1
69	111839	3.0	0|2
69	113643	4.0	0|2
69	117089	4.0	1|1
69	123785	4.0	0|2
69	103756	3.0	0|0
70	100070	4.0	0|1
70	100107	3.0	0|1
70	100771	4.0	0|2
70	103732	3.0	0|3
70	107144	3.0	1|2
