113	100116	5	0|1
114	100117	3	0|1
115	100118	2	0|1
116	100119	4	0|1
117	100120	4	0|1
118	100121	1	0|1
119	100122	1	0|1
120	100123	2	0|1
121	100124	3	0|1
122	100125	4	0|1
123	100126	4	0|1
124	100127	5	0|1
125	100128	3	0|1
126	100129	3	0|1
127	100130	4	0|1
128	100131	3	0|1
129	100132	5	0|1
130	100133	3	0|1
131	100134	4	0|1
132	100135	3	0|1
133	100136	5	0|1
134	100136	5	0|1
135	100082	5	0|1
136	100137	4	0|1
137	100138	5	0|1
138	100139	4	0|1
139	100140	3	0|1
140	100141	5	0|1
141	100142	4	0|1
142	100143	5	0|1
143	100144	5	0|1
144	100145	3	0|1
145	100146	4	0|1
146	100147	4	0|1
147	100148	4	0|1
148	100149	4	0|1
149	100150	3	0|1
150	100151	4	0|1
151	100152	4	0|1
152	100063	4	0|1
153	100153	4	0|1
154	100154	4	0|1
88	100155	3	0|1
155	100156	5	0|1
156	100157	4	0|1
157	100158	5	0|1
158	100159	5	0|1
159	100160	4	0|1
160	100161	2	0|1
161	100162	2	0|1
162	100163	5	0|1
163	100164	4	0|1
164	100165	4	0|1
165	100166	5	0|1
166	100167	5	0|1
167	100168	3	0|2
168	100169	4	0|2
169	100170	4	0|2
170	100171	4	0|2
171	100172	4	0|2
172	100173	4	0|2
173	100174	4	0|2
174	100175	3	0|2
175	100176	2	0|2
176	100177	4	0|2
177	100178	5	0|2
178	100179	3	0|2
179	100180	5	0|2
180	100134	4	0|2
181	100181	1	0|2
182	100182	5	0|1
106	100183	5	0|2
183	100184	5	0|2
184	100185	3	0|2
185	100186	4	0|2
186	100187	4	0|2
187	100188	5	0|2
188	100189	3	0|2
189	100190	5	0|2
190	100191	1	0|2
191	100192	5	0|2
192	100193	2	0|2
193	100194	2	0|2
194	100195	5	0|2
195	100173	4	0|2
88	100196	5	0|2
196	100197	4	0|2
197	100198	4	0|2
198	100199	3	0|1
199	100200	3	0|2
144	100201	3	0|2
200	100202	4	0|2
201	100203	3	0|1
202	100204	4	0|2
203	100205	4	0|2
204	100206	5	0|2
205	100207	5	0|2
206	100208	3	0|2
207	100209	5	0|2
208	100210	1	0|2
209	100211	4	0|2
210	100212	4	0|2
211	100213	5	0|2
212	100214	4	0|2
213	100215	4	0|2
214	100216	4	0|2
215	100217	5	0|2
216	100218	5	0|2
217	100219	3	0|2
